Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1900-01-01,1900,1,1,,-6.7,,-12.8,,-9.8,,27.8,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-02,1900,1,2,,-2.8,,-11.1,,-7,,25,,0,,0,,5.1,,5.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-03,1900,1,3,,-4.4,,-17.8,,-11.1,,29.1,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-04,1900,1,4,,1.1,,-5.6,,-2.3,,20.3,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-05,1900,1,5,,4.4,,0.6,,2.5,,15.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-06,1900,1,6,,3.3,,-2.2,,0.6,,17.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-07,1900,1,7,,6.7,,0.6,,3.7,,14.3,,0,,0,T,0,,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-08,1900,1,8,,4.4,,-8.9,,-2.3,,20.3,,0,,0.5,,0,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-09,1900,1,9,,3.3,,-9.4,,-3.1,,21.1,,0,,2,,0,,2,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-10,1900,1,10,,4.4,,-8.9,,-2.3,,20.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-11,1900,1,11,,-0.6,,-10.6,,-5.6,,23.6,,0,,0,,15.2,,15.2,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-12,1900,1,12,,-1.7,,-9.4,,-5.6,,23.6,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-13,1900,1,13,,1.1,,-3.9,,-1.4,,19.4,,0,,0,,1.5,,1.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-14,1900,1,14,,1.7,,0,,0.9,,17.1,,0,,1,,3,,4.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-15,1900,1,15,,2.8,,0,,1.4,,16.6,,0,,1,,3.8,,4.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-16,1900,1,16,,3.9,,-1.1,,1.4,,16.6,,0,,0,,2.8,,2.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-17,1900,1,17,,1.1,,-5,,-2,,20,,0,,0.5,,0,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-18,1900,1,18,,5,,-3.3,,0.9,,17.1,,0,,1.5,,0,,1.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-19,1900,1,19,,8.3,,1.7,,5,,13,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-20,1900,1,20,,3.9,,1.7,,2.8,,15.2,,0,,3.3,,0,,3.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-21,1900,1,21,,3.9,,-10,,-3.1,,21.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-22,1900,1,22,,6.1,,0.6,,3.4,,14.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-23,1900,1,23,,5,,-9.4,,-2.2,,20.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-24,1900,1,24,,2.8,,-13.3,,-5.3,,23.3,,0,,0,T,0.8,,0.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-25,1900,1,25,,4.4,,-8.3,,-2,,20,,0,,2,,1.5,,3.6,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-26,1900,1,26,,-7.8,,-17.2,,-12.5,,30.5,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-27,1900,1,27,,-3.3,,-13.3,,-8.3,,26.3,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-28,1900,1,28,,0,,-12.2,,-6.1,,24.1,,0,,0,,2.3,,2.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-29,1900,1,29,,-10,,-16.7,,-13.4,,31.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-30,1900,1,30,,-2.8,,-12.8,,-7.8,,25.8,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-01-31,1900,1,31,,-11.7,,-17.8,,-14.8,,32.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-01,1900,2,1,,-13.3,,-19.4,,-16.4,,34.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-02,1900,2,2,,-8.9,,-16.1,,-12.5,,30.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-03,1900,2,3,,-4.4,,-13.3,,-8.9,,26.9,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-04,1900,2,4,,-2.8,,-5.6,,-4.2,,22.2,,0,,0,,15.2,,15.2,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-05,1900,2,5,,-5,,-15.6,,-10.3,,28.3,,0,,0,,2.5,,2.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-06,1900,2,6,,1.1,,-10,,-4.5,,22.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-07,1900,2,7,,4.4,,-10,,-2.8,,20.8,,0,,2.3,,0,,2.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-08,1900,2,8,,9.4,,2.8,,6.1,,11.9,,0,,16,,0,,16,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-09,1900,2,9,,8.9,,-6.1,,1.4,,16.6,,0,,2,,0,T,2,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-10,1900,2,10,,-0.6,,-8.3,,-4.5,,22.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-11,1900,2,11,,3.9,,-6.7,,-1.4,,19.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-12,1900,2,12,,5,,-3.3,,0.9,,17.1,,0,,9.1,,0,,9.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-13,1900,2,13,,5.6,,-5.6,,0,,18,,0,,9.7,,0,T,9.7,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-14,1900,2,14,,-4.4,,-8.3,,-6.4,,24.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-15,1900,2,15,,-3.9,,-11.1,,-7.5,,25.5,,0,,0,,3,,3,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-16,1900,2,16,,-7.8,,-15.6,,-11.7,,29.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-17,1900,2,17,,-6.7,,-15,,-10.9,,28.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-18,1900,2,18,,-6.7,,-13.3,,-10,,28,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-19,1900,2,19,,-6.1,,-15,,-10.6,,28.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-20,1900,2,20,,-3.3,,-13.3,,-8.3,,26.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-21,1900,2,21,,0,,-6.7,,-3.4,,21.4,,0,,0,,7.6,,7.6,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-22,1900,2,22,,1.7,,-2.2,,-0.3,,18.3,,0,,8.9,,20.6,,29.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-23,1900,2,23,,1.1,,-1.1,,0,,18,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-24,1900,2,24,,2.2,,-11.7,,-4.8,,22.8,,0,,6.4,,3.3,,9.7,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-25,1900,2,25,,-11.7,,-17.2,,-14.5,,32.5,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-26,1900,2,26,,-13.9,,-23.3,,-18.6,,36.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-27,1900,2,27,,-8.3,,-21.7,,-15,,33,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-02-28,1900,2,28,,-3.3,,-14.4,,-8.9,,26.9,,0,,0,,25.4,,25.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-03-01,1900,3,1,,-3.9,,-7.8,,-5.9,,23.9,,0,,0,,19.8,,19.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1900-03-02,1900,3,2,,-2.8,,-7.8,,-5.3,,23.3,,0,,0,,0.5,,0.5,,,,,,,
