Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1840-03-01,1840,3,1,,8.3,,0,,4.2,,13.8,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-02,1840,3,2,,7.8,,1.1,,4.5,,13.5,,0,,1.3,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-03,1840,3,3,,11.1,,2.2,,6.7,,11.3,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-04,1840,3,4,,15,,-3.9,,5.6,,12.4,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-05,1840,3,5,,6.7,,-1.1,,2.8,,15.2,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-06,1840,3,6,,11.7,,-3.9,,3.9,,14.1,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-07,1840,3,7,,-3.3,,-10,,-6.7,,24.7,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-08,1840,3,8,,5.6,,-3.9,,0.9,,17.1,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-09,1840,3,9,,5.6,,-10,,-2.2,,20.2,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-10,1840,3,10,,-5,,-12.8,,-8.9,,26.9,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-11,1840,3,11,,-1.1,,-7.2,,-4.2,,22.2,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-12,1840,3,12,,2.2,,-7.8,,-2.8,,20.8,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-13,1840,3,13,,4.4,,-1.7,,1.4,,16.6,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-14,1840,3,14,,3.3,,-2.2,,0.6,,17.4,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-15,1840,3,15,,2.8,,-6.1,,-1.7,,19.7,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-16,1840,3,16,,5,,0,,2.5,,15.5,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-17,1840,3,17,,4.4,,-2.2,,1.1,,16.9,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-18,1840,3,18,,10.6,,1.1,,5.9,,12.1,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-19,1840,3,19,,5,,2.2,,3.6,,14.4,,0,,5.8,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-20,1840,3,20,,10,,0,,5,,13,,0,,2.3,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1840-03-21,1840,3,21,,,M,,M,,M,,M,,M,0,,,,,,,,,,,
